CWE-ID,Description,CVE
1115,"The lack of a prologue can make it more difficult to accurately and quickly understand the associated code. Standard prologues or headers may contain information such as module name, version number, author, date, purpose, function, assumptions, limitations, accuracy considerations, etc.",NA
1115,"This issue makes it more difficult to maintain the software due to insufficient analyzability, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NA
1116,The source code contains comments that do not accurately  describe or explain aspects of the portion of the code with which the comment is  associated.,NA
1116,"When a comment does not accurately reflect the associated code elements, this can introduce confusion to a reviewer (due to inconsistencies) or make it more difficult and less efficient to validate that the code is implementing the intended behavior correctly.",NA
1116,"This issue makes it more difficult to maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NA
1117,"The code contains a function or method whose signature and/or associated  inline documentation does not sufficiently describe the callable's inputs, outputs,  side effects, assumptions, or return codes.",NA
1118,"The documentation does not sufficiently describe the techniques  that are used for error handling, exception processing, or similar  mechanisms.",NA
1119,"The code uses too many unconditional branches (such as  ""goto"").",NA
112,The software accepts XML from an untrusted source but does not validate the XML against the proper schema.,NA
112,"Most successful attacks begin with a violation of the programmer's assumptions. By accepting an XML document without validating it against a DTD or XML schema, the programmer leaves a door open for attackers to provide unexpected, unreasonable, or malicious input.",NA
1120,"The code is too complex, as calculated using a well-defined,  quantitative measure.",NA
1120,"This issue makes it more difficult to understand and/or maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NA
1120,"This issue can make the software perform more slowly.  If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.",NA
1121,The code contains McCabe cyclomatic complexity that exceeds a  desirable maximum.,NA
1122,The code is structured in a way that a Halstead complexity  measure exceeds a desirable maximum.,NA
1122,"A variety of Halstead complexity measures exist, such as program vocabulary size or volume.",NA
1122,"This issue makes it more difficult to understand and/or maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NA
1123,The product uses too much self-modifying  code.,NA
1124,The code contains a callable or other code grouping in which  the nesting / branching is too deep.,NA
1125,The product has an attack surface whose quantitative  measurement exceeds a desirable maximum.,NA
1126,"The source code declares a variable in one scope, but the  variable is only used within a narrower scope.",NA
1127,"The code is compiled without sufficient warnings enabled, which  may prevent the detection of subtle bugs or quality  issues.",NA
113,"The software receives data from an upstream component, but does not neutralize or incorrectly neutralizes CR and LF characters before the data is included in outgoing HTTP headers.",NA
113,"Including unvalidated data in an HTTP header allows an attacker to specify the entirety of the HTTP response rendered by the browser. When an HTTP request contains unexpected CR (carriage return, also given by %0d or \r) and LF (line feed, also given by %0a or \n) characters the server may respond with an output stream that is interpreted as two different HTTP responses (instead of one). An attacker can control the second response and mount attacks such as cross-site scripting and cache poisoning attacks.",NA
